petugas_id;jenis_perangkat_kode;id_perangkat;serial_number;lokasi_kode;nama_perangkat;jenis_barang;merk;id_remoteaccess;spesifikasi_processor;kapasitas_ram;Kapasitas SSD;Kapasitas HDD;mac_ethernet;mac_wireless;ip_ethernet;ip_wireless;serial_number_monitor;tanggal_entry
a3b61152-da4b-40a5-aaf8-2aabf02cd071;001;001.2025.12.0001;D7689V2;YANMED;YANMED-0001;5c99d08a-6f50-41c5-80c3-dcafdc1a3036;DELL Optiplex 3050;1992534373;i5-7;8;512 GB;-;b8-85-84-c0-8b-80;48-a4-72-b4-3e-d0;-;-;-;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;003;003.2025.12.0002;VJMY083007;YANMED;YANMED-0002;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;Epson L565;-;-;-;-;-;-;-;-;-;-;17/12/2025 08:02
efd6c2a0-a68e-46aa-89ca-29c0f62f52da;001;001.2025.12.0003;JAPTCJ009858423;SPI;SPI-0003;5c99d08a-6f50-41c5-80c3-dcafdc1a3036;ASUS V24;627 082 580;i7-8550u;8;128 GB ;1 TB ;04-92-26-3D-82-01;80-C5-F2-F9-7A-0F;-;-;-;17/12/2025 08:02
efd6c2a0-a68e-46aa-89ca-29c0f62f52da;001;001.2025.12.0004;DMYVW94;SPI;SPI-0004;debfc410-f4ba-4faf-8947-37394f0e8ee3;dell optiplex 3070;1 953 389 919;i5-14500 ;8;512 GB;-;E8-CF-83-41-00-17;28-95-29-EC-80-47;-;-;-;17/12/2025 08:02
63af880e-7711-41d2-96ad-2d5b5f224a5c;001;001.2025.12.0005;8R5DVQ3;HUKER;HUKER-0005;debfc410-f4ba-4faf-8947-37394f0e8ee3;Dell Optiplex 3000;798619862;i5-12500;8;256 GB ;1 TB ;-;-;10.10.13.158;-;H87TFJ3;17/12/2025 08:02
2c646432-34db-44a2-b773-2dffaca915fa;001;001.2025.12.0006;974gvq3;HUKER;HUKER-0006;debfc410-f4ba-4faf-8947-37394f0e8ee3;Dell Optiplex;791766269;i5-12500;8;256 GB ;1 TB ;00-be-43-e2-4d-a6;c8-21-58-cf-f9-68;10.10.13.233;-; gp7tfj3;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;001;001.2025.12.0007;J4FCF92;YANMED;YANMED-0007;5c99d08a-6f50-41c5-80c3-dcafdc1a3036;Inspiron 3280;1368002117;i5-8265U;8;512 GB;-;a4-bb-6d-4e-3a-22;a8-7e-ea-98-70-65;-;-;-;17/12/2025 08:02
63af880e-7711-41d2-96ad-2d5b5f224a5c;001;001.2025.12.0008;4GYVW94;HUKER;HUKER-0008;debfc410-f4ba-4faf-8947-37394f0e8ee3;Dell Optiplex Tower 7020;1813095134;i5-14500;8;512 GB ;1 TB ;-;e8-cf-83-40-ff-7f;10.10.13.170;-;FGNW734;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;003;003.2025.12.0009;x5nz094274;YANMED;YANMED-0009;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;epson l5190;-;-;-;-;-;-;-;-;-;-;17/12/2025 08:02
2c646432-34db-44a2-b773-2dffaca915fa;001;001.2025.12.0010;766nly3;HUKER;HUKER-0010;debfc410-f4ba-4faf-8947-37394f0e8ee3;Dell Optiplex;1495671507;i5-13500;8;256 GB ;1 TB ;-;-;-;-;51dxtm3;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;001;001.2025.12.0011;9lwn053;YANMED;YANMED-0011;debfc410-f4ba-4faf-8947-37394f0e8ee3;dell optiplex 3070;751805073;i5-9500;8;128 GB ;1 TB ;70-b5-eI-28-0a-37;1c-bf-c0-bb-5c-c3;-;-;-;17/12/2025 08:02
efd6c2a0-a68e-46aa-89ca-29c0f62f52da;002;002.2025.12.0012;SBNXGF000018443;SPI;SPI-0012;3c316cea-e799-455a-a6ea-4f6cd6bccb2e;ASUS ExpertBook BG1408cva;-;i5-1355u;8;512 GB;-;CC-28-AA-8E-B4-2B;10-91-D1-A3-22-30;-;-;-;17/12/2025 08:02
efd6c2a0-a68e-46aa-89ca-29c0f62f52da;002;002.2025.12.0013;93YZ1W2;SPI;SPI-0013;3c316cea-e799-455a-a6ea-4f6cd6bccb2e;Dell Lattitude 3490;1 615 952 960;i5-8250U ;4;512 GB;-;D8-D0-90-0E-BE-8C;10-5B-AD-0E-10-FD;-;-;-;17/12/2025 08:02
efd6c2a0-a68e-46aa-89ca-29c0f62f52da;002;002.2025.12.0014;4RINZZ2;SPI;SPI-0014;3c316cea-e799-455a-a6ea-4f6cd6bccb2e;Dell Lattitude 3400;586 121 759;i5-8265U;8;128 GB ;1 TB ;70-B5-E8-AC-4B-F9;1C-BF-C0-78-42-C9;-;-;-;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;003;003.2025.12.0015;tp2k740317;YANMED;YANMED-0015;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;epson l120;-;-;-;-;-;-;-;-;-;-;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;003;003.2025.12.0016;x8fn011915;YANMED;YANMED-0016;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;epson l6270;-;-;-;-;-;-;-;-;-;-;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;001;001.2025.12.0017;36g2p42;YANMED;YANMED-0017;5c99d08a-6f50-41c5-80c3-dcafdc1a3036;dell inspiron 3280;1042098441;i5-8265;8;512 GB;-;00-4e-01-bb-71-e4;04-ed-33-4f-81-71;-;-;-;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;003;003.2025.12.0018;x9lu036765;YANMED;YANMED-0018;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;epson l21;-;-;-;-;-;-;-;-;-;-;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;001;001.2025.12.0019;g86nly3;YANMED;YANMED-0019;debfc410-f4ba-4faf-8947-37394f0e8ee3;dell optiplex tower 7010;1588163880;i5-13500;8;256 GB ;1 TB ;20-88-10-5f-f3-1d;c4-3d-1a-97-bd-79 ;-;-;2tcxtm3;17/12/2025 08:02
63af880e-7711-41d2-96ad-2d5b5f224a5c;003;003.2025.12.0020;X9LU132159;HUKER;HUKER-0020;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;Epson L121;-;-;-;-;-;-;-;-;-;-;17/12/2025 08:02
2c646432-34db-44a2-b773-2dffaca915fa;003;003.2025.12.0021;ch960010;HUKER;HUKER-0021;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;Epson L14150;-;-;-;-;-;-;-;-;-;-;17/12/2025 08:02
63af880e-7711-41d2-96ad-2d5b5f224a5c;003;003.2025.12.0022;TP2K828276;HUKER;HUKER-0022;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;Epson L120;-;-;-;-;-;-;-;-;-;-;17/12/2025 08:02
2c646432-34db-44a2-b773-2dffaca915fa;003;003.2025.12.0023;vhsk262801;HUKER;HUKER-0023;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;epson L310;-;-;-;-;-;-;-;-;-;-;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;003;003.2025.12.0024;x8fn011878;YANMED;YANMED-0024;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;epson l6270;-;-;-;-;-;-;-;-;-;-;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;001;001.2025.12.0025;7gyvw94;YANMED;YANMED-0025;debfc410-f4ba-4faf-8947-37394f0e8ee3;dell optiplex tower 7020;1672851729;i5-4900;8;512 GB;-;e8-cf-83-40-ff-60;28-95-29-ec-80-10;-;-;bjnw734;17/12/2025 08:02
2c646432-34db-44a2-b773-2dffaca915fa;003;003.2025.12.0026;xblv002840;HUKER;HUKER-0026;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;epson l1250;-;-;-;-;-;-;-;-;-;-;17/12/2025 08:02
2c646432-34db-44a2-b773-2dffaca915fa;001;001.2025.12.0027;bb6nly3;HUKER;HUKER-0027;debfc410-f4ba-4faf-8947-37394f0e8ee3; dell optiplex;1030947721;i5-13500;8;256 GB ;1 TB ;20-88-10-60-b3-12;c4-3d-1a-9f-39-2c; 10.10.13.234;-;65dxtm3;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;002;002.2025.12.0028;r912cjzj;YANMED;YANMED-0028;3c316cea-e799-455a-a6ea-4f6cd6bccb2e;idepad flex 14 it l05;312399491;i5-1135g7;8;512 GB;-;14-18-c3-70-35-29;14-18-c3-70-35-28;-;-;-;17/12/2025 08:02
63af880e-7711-41d2-96ad-2d5b5f224a5c;003;003.2025.12.0029;G13901911232;HUKER;HUKER-0029;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;Epson L14150;-;-;-;-;-;-;-;-;-;-;17/12/2025 08:02
a3b61152-da4b-40a5-aaf8-2aabf02cd071;002;002.2025.12.0030;r912cjbd;YANMED;YANMED-0030;3c316cea-e799-455a-a6ea-4f6cd6bccb2e;ideapad flex 14 it l05;759888292;i5-1135g7;8;512 GB;-;-;16-18-c3-6f-9f-82;-;-;-;17/12/2025 08:02
63af880e-7711-41d2-96ad-2d5b5f224a5c;002;002.2025.12.0031;CB23522721;HUKER;HUKER-0031;3c316cea-e799-455a-a6ea-4f6cd6bccb2e;Ideapad Z400 Touch;1236323219;i3-3120M;4;512 GB;-;-;24-FD-52-BB-B4-BA;-;-;-;17/12/2025 08:02
63af880e-7711-41d2-96ad-2d5b5f224a5c;005;005.2025.12.0032;X7RZ003326;HUKER;HUKER-0032;b7d9a2f1-cc59-40b8-9965-fa71b177b3eb;Epson ES-580W;-;-;-;-;-;-;-;-;-;-;16/12/2025 12:03
efd6c2a0-a68e-46aa-89ca-29c0f62f52da;003;003.2025.12.0033;X6QU012762;SPI;SPI-0033;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;Epson L14150;-;-;-;-;-;-;-;-;-;-;16/12/2025 12:03
efd6c2a0-a68e-46aa-89ca-29c0f62f52da;003;003.2025.12.0034;VJM07153;SPI;SPI-0034;ff9ce3d5-ec91-4276-8594-edb0ec3c3b3f;Epson L565;-;-;-;-;-;-;-;-;-;-;16/12/2025 12:03
63af880e-7711-41d2-96ad-2d5b5f224a5c;001;001.2025.12.0035;BKYCYF3;HUMAS;HUMAS-0035;debfc410-f4ba-4faf-8947-37394f0e8ee3;Dell Optiplex 3080;1301268838;i5-10505;8;-;1 TB;70-B5-E8-78-E0-5B;-;10.10.13.126;-;5NVDHC3;16/12/2025 12:03
2c646432-34db-44a2-b773-2dffaca915fa;001;001.2025.12.0036;d7999v2;HUKER;HUKER-0036;5c99d08a-6f50-41c5-80c3-dcafdc1a3036;dell optiplex 3050 aio;150653796;i5-7500t;8;-;1 TB;b8-85-84-c5-aa-11;00-bb-60-b2-72-58;10.10.13.231;-;-;16/12/2025 12:03
a3b61152-da4b-40a5-aaf8-2aabf02cd071;002;002.2025.12.0037;pw087re7;YANMED;YANMED-0037;3c316cea-e799-455a-a6ea-4f6cd6bccb2e;lenovo thinkpad 14 g6 irl;-;-;-;-;-;-;-;-;-;-;16/12/2025 12:03
efd6c2a0-a68e-46aa-89ca-29c0f62f52da;005;005.2025.12.0038;A1VAC16045;SPI;SPI-0038;b7d9a2f1-cc59-40b8-9965-fa71b177b3eb;Fujitsu fi-7180;-;-;-;-;-;-;-;-;-;-;16/12/2025 12:03
a3b61152-da4b-40a5-aaf8-2aabf02cd071;005;005.2025.12.0039;x7rz003308;YANMED;YANMED-0039;b7d9a2f1-cc59-40b8-9965-fa71b177b3eb;epson es-580w;-;-;-;-;-;-;-;-;-;-;16/12/2025 12:03
